stairs.thisTrialN,stairs.stepSize,stairs.intensity,text.started,text.stopped,corrAns,tilt,key_resp.corr,fixation.started,fixation.stopped,grating.started,grating.stopped,stairs.response,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
51,0.5,1.0,,,right,1.0,1,70.47772625299694,70.97730760400009,70.9441501409965,71.24409605500114,1,0.459485572995618,70.9441501409965,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
52,0.5,1.0,,,right,1.0,1,71.4273491779968,71.92749924500094,71.89421986199886,72.19419189199834,1,0.4682787979982095,71.89421986199886,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
53,0.5,1.0,,,left,-1.0,1,72.39415814400127,72.89414680499613,72.87756785099918,73.17774920899683,1,0.6528883520004456,72.87756785099918,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
54,0.5,1.0,,,left,-1.0,1,73.56098136899527,74.06098662300064,74.04442170199763,74.3444394420003,1,0.5440557920010178,74.04442170199763,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
55,0.5,1.0,,,left,-1.0,1,74.61109468500217,75.11111377799534,75.07761356399715,75.3778097530012,1,0.4208222669985844,75.07761356399715,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
56,0.5,1.0,,,right,1.0,1,75.52771939500235,76.02760756899806,76.01123702499899,76.31092036899645,1,0.5231225590032409,76.01123702499899,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
57,0.5,1.0,,,left,-1.0,1,76.56110217000241,77.06123267999646,77.02780586799781,77.32780411299609,1,0.44352485199488,77.02780586799781,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
58,0.5,1.0,,,right,1.0,1,77.49439762999828,77.9945498859961,77.96142992100067,78.26159552999889,1,0.37286954400042305,77.96142992100067,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
59,0.5,1.0,,,left,-1.0,1,78.3613149820012,78.8615917720017,78.82794744199782,79.12807641599647,1,0.377290055002959,78.82794744199782,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
60,0.5,1.0,,,left,-1.0,0,79.22790529399936,79.72801535500184,79.6947513299965,79.99392468600126,0,0.2953277800042997,79.6947513299965,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
61,0.5,1.5,,,left,-1.5,1,80.01153349699598,80.5114739319979,80.47813254399807,80.77821278099873,1,0.4779700619983487,80.47813254399807,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
62,0.5,1.5,,,left,-1.5,1,80.97820260599838,81.47816899300233,81.44486305499595,81.74490181399597,1,0.3860725669946987,81.44486305499595,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
63,0.5,1.5,,,right,1.5,1,81.86143002400058,82.36162186699949,82.34501553399605,82.64497134299745,1,0.4219862739992095,82.34501553399605,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
64,0.5,1.0,,,right,1.0,1,82.79498841500026,83.29498610999872,83.2783460540013,83.57827009599714,1,0.4685778109997045,83.2783460540013,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
65,0.5,1.0,,,right,1.0,1,83.7781434569988,84.27833192899561,84.26173470899812,84.56155567099631,1,0.4600432169972919,84.26173470899812,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
66,0.5,1.0,,,left,-1.0,1,84.7450809649963,85.24505564099672,85.21170398999675,85.5115903909973,1,0.6041572920003091,85.21170398999675,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
67,0.5,1.0,,,left,-1.0,1,85.84497599599854,86.34512644899951,86.32852183399518,86.62868613300088,1,0.476281276998634,86.32852183399518,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
